simbad_name,ra_hms,dec_dms,Vmag,Imag,WFS6535 mag,WFSHaIR mag,phot_g_mean_mag,vetted,n_sys,pmra,pmdec,parallax,bp_rp,source_id,ra,dec,Num
* ksi Pup,07:49:17.65,-24:51:35.22,,1.8799999952316284,,,,N,1,-3.61,-2.579,,,,117.32355646601665,-24.859783879637224,126
  6 Pup,07:49:41.26,-17:13:44.14,5.1620001792907715,4.380876579023187,4.114051268135511,4.006877953460413,4.7613873,N,1,54.53834241178775,-117.16549297044506,12.694167701004062,1.4422534,5718613169236705536,117.42192639046708,-17.228929206524345,127
TYC 7127-2092-2,07:52:15.40,-34:42:15.76,5.119999885559082,4.922613113915652,4.636242175566144,4.582180524989218,4.940166,N,1,-198.096070311671,238.81180023957108,54.563099523190026,0.598721,5593584059914156800,118.06419139640802,-34.70437853685907,128
b Pup,07:52:38.63,-38:51:46.07,4.473999977111816,4.925429252023569,4.4713331216303125,4.504563482405764,4.436491,N,1,-8.937963711443286,3.892085960001342,4.13686381570797,-0.24020815,5537733610870346880,118.16097771908365,-38.86279730944278,129
HD  64740,07:53:03.62,-49:36:46.71,4.630000114440918,5.123787442884719,4.65456888773578,4.679586341335432,4.572828,N,1,-8.45586818925652,14.900388751243916,4.084498273173237,-0.337636,5517239366958299776,118.2650856736453,-49.61297718879144,130
HD  64760,07:53:18.14,-48:06:10.46,4.239999771118164,4.619716168715975,4.188200392256559,4.2147819358192935,4.1740985,N,1,-5.679106596232267,6.162858341605558,1.5287829356529452,-0.18423796,5518235833732209536,118.3256183569648,-48.10290774132125,131
 12 Pup,07:59:05.70,-23:18:37.38,5.110000133514404,4.485889050591361,4.2396750050328835,4.137100091637573,4.7839675,N,1,-11.6552746533487,2.5368781511076843,3.737798637559969,1.2391028,5699115357749939328,119.77375621890047,-23.310385258708315,132
* zet Pup,08:03:35.04,-40:00:11.33,2.25,2.5799999237060547,,,,N,1,-29.71,16.68,,,,120.89603140977576,-40.003147798268934,133
HD  67582,08:06:40.33,-45:15:57.47,5.020999908447266,4.129020057584036,3.8387579930433686,3.702290996671338,4.550747,N,1,-5.769518153173025,11.450251968021036,1.962756019139181,1.5935493,5520409190267731584,121.6680441556766,-45.265964020239466,134
* rho Pup,08:07:32.64,-24:18:15.56,2.809999942779541,2.25,,,,N,1,-82.886,46.93,,,,121.88603676458334,-24.304324429444446,135
 16 Pup,08:09:01.62,-19:14:42.18,4.39300012588501,4.826010889408785,4.388463888761063,4.4253955744989515,4.3570156,N,1,-11.105257153497616,-4.080079181830229,7.213767032709088,-0.19918394,5713807856749312512,122.25676600732773,-19.245052108300168,136
HD  68243,08:09:29.30,-47:20:42.86,4.172999858856201,4.725352820056791,4.252471460434005,4.301639055447928,4.196464,N,1,-6.243347387122676,9.474710649675217,2.6051958137295665,-0.30583763,5519266900766220800,122.37211545208515,-47.3452393935982,137
* gam02 Vel,08:09:31.95,-47:20:11.71,1.8300000429153442,2.0,,,,N,1,-6.07,10.43,,,,122.38312555977059,-47.336586329303486,138
 19 Pup,08:11:16.27,-12:55:37.05,4.71999979019165,4.2145481981227775,3.9633776631564226,3.877888497475328,4.458358,N,1,-28.17710169360641,8.827639315540317,18.274740226930877,1.0965624,5726736979617591808,122.8178102812069,-12.926959451751904,139
* h01 Pup,08:11:21.49,-39:37:06.75,,2.3399999141693115,,,,N,1,-9.072,3.211,,,,122.83955595925998,-39.61854410984,140
HD  68601,08:11:25.88,-42:59:14.12,4.75,4.838219475699773,4.482912361378512,4.414068947678867,4.683607,N,1,-5.429050966175584,4.4688834951095115,0.7272922110955039,0.36310816,5521252069013332736,122.85785441385654,-42.98725806067096,141
r Pup,08:13:29.50,-35:53:58.09,4.769999980926514,5.130257495952399,4.658515178534261,4.682352960166952,4.750914,N,1,-7.490567893066996,10.373101562072948,2.433959039382968,-0.075507164,5544672044638408832,123.37294754935456,-35.89947213282602,142
 16 Vel,08:13:34.27,-50:11:45.87,5.513999938964844,4.186986667636198,3.6914319755871015,3.5118446514157506,4.7455173,N,1,18.741912513107145,-0.1424539589228643,4.1001547134218175,2.0566611,5513506731136287744,123.39282472663638,-50.19607583600838,143
* h02 Pup,08:14:02.92,-40:20:52.32,,2.9600000381469727,,,,N,1,38.196,-70.153,,,,123.51220570344002,-40.34786713897,144
HD  73155,08:34:43.57,-49:56:38.83,5.010000228881836,4.198268556933307,3.910390642210751,3.7901038377279788,4.5791163,N,1,-13.919046862500462,18.03630476641924,2.691768513433559,1.4688809,5322904913005317888,128.6815560201254,-49.94412196707303,145
a Hya,08:40:01.38,-12:28:31.31,4.968999862670898,4.052793132605345,3.738565279717827,3.604945640214792,4.475735,N,1,-81.26893186484455,2.0297736905977843,7.746379946302304,1.5920119,5747442879511136640,130.00576107398857,-12.475365708168107,146
HD  74167,08:40:35.26,-45:11:27.89,5.6479997634887695,4.342966789468427,3.8609547334264613,3.684604253238507,4.9035635,N,1,2.6748399521716695,4.848914380245706,3.4991701853063417,2.0284026,5522296364540119936,130.14692808570348,-45.19108143093344,147
* b Vel,08:40:37.57,-46:38:55.46,,2.619999885559082,,,,N,1,-6.124,4.473,,,,130.15654669942333,-46.648740109134444,148
n Vel,08:41:13.11,-47:19:01.49,4.769999980926514,4.87146962255116,4.505832312142353,4.480741157433471,4.696814,N,1,-7.807713503171278,10.610962099212074,1.4106995265351547,0.29986715,5329412200783621120,130.3046529868285,-47.3170832661192,149
  9 Hya,08:41:43.33,-15:56:37.73,4.866000175476074,4.279792252214023,4.029987337166718,3.927705387342952,4.5714664,N,1,3.416228712706376,-96.8036964742288,15.707683346378117,1.2111588,5710178952977568000,130.4305831520658,-15.943815593141688,150
HD  74560,08:42:25.34,-53:06:49.96,4.815000057220459,5.266200256950562,4.841458293804899,4.8813832564109445,4.8141437,N,1,-24.545205373426008,23.53169053039796,6.650692081253478,-0.22378635,5318486456810851072,130.60559576604757,-53.11387968643011,151
HD  75306,08:48:14.59,-28:38:19.79,6.489999771118164,4.20405449343027,3.040677679581517,2.7699272817659413,4.8967314,N,1,-20.07378107212963,-8.717823776102485,4.367489114892036,3.2001128,5642776240199795584,132.0608313084872,-28.63883143776042,152
* gam Pyx,08:50:31.92,-27:42:35.42,,2.390000104904175,,,,N,1,-133.185,86.297,,,,132.63301083315085,-27.70984159252084,153
* c Vel,09:04:09.27,-47:05:51.84,,2.3299999237060547,,,,N,1,-47.862,-8.973,,,,136.03866521203622,-47.097735077495564,154
* lam Vel,09:07:59.75,-43:25:57.32,2.2100000381469727,0.029999999329447746,,,,N,1,-24.01,13.52,,,,136.99899113791412,-43.432590908860746,155
* kap Pyx,09:08:02.87,-25:51:30.73,,2.4200000762939453,,,,N,1,34.972,0.197,,,,137.01199942675,-25.85853788063,156
HD  79186,09:11:04.38,-44:52:04.37,5.0,4.973253542808166,4.653408531763575,4.617645799126346,4.876352,N,1,-5.664965160652944,4.3479147579748565,0.5934892999260477,0.39040375,5330765974462198784,137.768289864662,-44.86788305060216,157
HD  80108,09:16:23.03,-44:15:56.54,5.093999862670898,3.9854075867932224,3.607809124616022,3.462705436659027,4.4766154,N,1,-2.980005720078482,5.649839166161401,1.458844801539999,1.8440256,5423960064637139200,139.09596184932082,-44.265706988386576,158
CCDM J09198-1159AB,09:19:46.35,-11:58:29.27,4.769999980926514,4.280532750448415,4.030526373312528,3.9426836713965905,4.520355,N,1,-27.970136311652873,12.399600130181598,9.451398159796312,1.0834901,5738958360595725312,139.9431298177414,-11.974797638401844,159
* tet Pyx,09:21:29.59,-25:57:55.58,,2.240000009536743,,,,N,1,-12.86,-9.792,,,,140.37329296116,-25.96544062992,160
HD  81034,09:21:51.07,-42:11:42.29,5.572000026702881,4.112088294132114,3.525121392420952,3.328466128566565,4.7064133,N,1,59.95190316557195,-49.64637234109608,5.051848052639698,2.2111723,5424573351607727744,140.46280482578462,-42.19508088193896,161
lam Pyx,09:23:12.09,-28:50:01.53,4.679999828338623,4.230442636741714,3.9681086028131762,3.8786685794722437,4.4627023,N,1,-126.91272150022807,23.11574679080668,17.072621175688152,1.0782287,5636377945815560192,140.80039902026272,-28.833758615992597,162
* eps Ant,09:29:14.71,-35:57:04.81,,2.740000009536743,,,,N,1,-24.844,5.72,,,,142.31133167344,-35.95133743857333,163
HD  82734,09:33:12.43,-21:06:56.35,5.002999782562256,4.491356112233369,4.257942974492101,4.168856112830326,4.752573,N,1,-20.45810591171893,15.36454261421981,8.812454653360707,1.13556,5676911545051183872,143.30181861753277,-21.115655045302205,164
HD  83058,09:34:08.77,-51:15:18.84,5.03000020980835,5.452598203323454,5.014763822956173,5.0402928256655155,4.9602942,N,1,-8.622000202084944,6.8477087079780325,2.85734527623412,-0.26260138,5312887640522116992,143.5365782367102,-51.25523570872589,165
HD  83446,09:36:49.32,-49:21:17.40,4.349999904632568,4.497657280528706,4.158706537343223,4.1445594304974005,4.2990227,N,1,-128.82238781044174,43.13973513041832,30.631907201506795,0.23794603,5409223585178017152,144.20553417462855,-49.35483376770194,166
* ups01 Hya,09:51:28.67,-14:50:47.86,,2.950000047683716,,,,N,1,31.037,-26.862,,,,147.86947907884206,-14.846628713346947,167
HD  88206,10:08:56.21,-51:48:40.53,4.84499979019165,5.231109629731314,4.804992112718814,4.801457522077028,4.7994413,N,1,-15.55647166837393,0.6666688355166477,2.0767494184080415,-0.14455938,5356991663260068480,152.23421986888698,-51.81125879311411,168
* lam Hya,10:10:35.28,-12:21:14.85,,2.359999895095825,,,,N,1,-217.433,-74.373,,,,152.6470357548103,-12.3541274788236,169
HD  89062,10:15:31.59,-43:06:45.39,5.560999870300293,4.524631946226059,4.179070167511382,4.027011374561225,4.999767,N,1,21.95533851631056,-54.17467256789706,6.037673270725774,1.7359109,5416714660964273536,153.88162920132132,-43.112610602118686,170
HD  89273,10:16:40.06,-51:12:16.51,6.300000190734863,4.091016098315059,3.0072883550988294,2.67844677647696,4.7541423,N,1,-40.971113690358806,11.55049554171142,5.1126735435775545,3.0313478,5358392578511815168,154.1669357333221,-51.20458615375942,171
HD  89736,10:20:16.70,-47:41:56.65,5.613999843597412,4.4698122443369,4.081170163109349,3.9192129157802595,4.978791,N,1,-9.072944945760208,4.11739847737508,1.2399176682790156,1.8781228,5365315790907090944,155.0695882731303,-47.69907220034903,172
